É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/12/18 17:54:59

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
2008/2,5.5,8,1,13.7,5,1,9.6,8,1,1.9,8,1,17.0,8,1,-0.1,8,1,57.0,0,8,1,214.8,0,8,2,4,0,8,1,3,0,8,1,3.5,8,2,14.2,8,ñkêº,8,1
2008/3,10.7,8,1,14.2,8,1,14.9,8,1,7.2,8,1,20.4,8,1,2.8,8,1,119.5,0,8,1,187.2,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,8.8,8,ñkêº,8,1
2008/4,14.7,8,1,15.0,8,1,18.4,8,1,11.4,8,1,25.8,8,1,6.5,8,1,240.0,0,8,1,150.0,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,10.5,8,ìåñkìå,8,1
2008/5,18.5,8,1,14.9,8,1,22.0,8,1,15.4,8,1,29.0,8,1,9.2,8,1,255.0,0,8,1,136.9,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,10.4,8,ìÏìÏìå,8,1
2008/6,21.3,8,1,13.5,8,1,24.6,8,1,18.4,8,1,29.1,8,1,13.4,8,1,225.5,0,8,1,106.9,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,8.7,8,ìÏìå,8,2
2008/7,27.0,8,1,17.7,8,1,30.9,8,1,24.2,8,1,34.5,8,1,18.6,8,1,48.0,0,8,1,168.4,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,7.9,8,ìÏ,8,2
2008/8,26.8,8,1,14.4,5,1,30.7,8,1,24.1,8,1,35.3,8,1,19.6,8,1,387.5,0,8,1,130.0,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,7.8,8,êºñkêº,8,2
2008/9,24.4,8,1,12.2,8,1,27.7,8,1,21.7,8,1,32.3,8,1,15.4,8,1,158.5,0,8,1,124.1,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,8.3,8,ìÏìÏêº,8,2
2008/10,19.4,8,1,10.6,8,1,22.6,8,1,16.4,8,1,25.2,8,1,11.5,8,1,204.5,0,8,1,141.0,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,8.3,8,ìÏ,8,2
2008/11,13.1,8,1,8.3,8,1,16.4,8,1,10.0,8,1,22.3,8,1,5.5,8,1,74.0,0,8,1,142.9,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,9.1,8,ñkêº,8,2
2008/12,9.8,8,1,8.6,8,1,13.7,8,1,6.0,8,1,19.9,8,1,1.8,8,1,70.5,0,8,1,190.8,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,11.1,8,ñkêº,8,2
2009/1,6.8,8,1,8.9,8,1,10.2,8,1,3.5,8,1,15.3,8,1,0.0,8,1,142.0,0,8,1,174.7,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,9.7,8,ñkêº,8,2
2009/2,7.8,8,1,10.2,8,1,11.5,8,1,4.4,8,1,23.9,8,1,1.4,8,1,46.5,0,8,1,131.2,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,10.6,8,ñkêº,8,2
2009/3,10.0,8,1,13.4,8,1,13.7,8,1,6.3,8,1,23.2,8,1,1.1,8,1,98.5,0,8,1,162.9,0,8,2,0,1,8,1,0,0,8,1,3.5,8,2,12.0,8,ìÏ,8,2
2009/4,15.7,8,1,18.7,8,1,20.2,8,1,11.9,8,1,26.1,8,1,5.4,8,1,162.5,0,8,1,226.7,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,11.5,8,ñkêº,8,2
2009/5,20.1,8,1,15.6,8,1,23.6,8,1,16.9,8,1,29.3,8,1,12.6,8,1,242.0,0,8,1,154.6,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,10.4,8,ìÏ,8,2
2009/6,22.5,8,1,13.6,8,1,25.8,8,1,19.8,8,1,31.9,8,1,15.5,8,1,226.0,0,8,1,98.8,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,8.4,8,ìÏìÏêº,8,2
2009/7,26.3,8,1,14.1,8,1,29.3,8,1,23.5,8,1,34.2,8,1,20.2,8,1,78.5,0,8,1,103.5,0,8,2,0,1,8,1,0,1,8,1,3.4,8,2,9.2,8,ìÏ,8,2
2009/8,26.6,8,1,14.9,8,1,30.1,8,1,23.8,8,1,33.2,8,1,17.6,8,1,242.0,0,8,1,136.1,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,7.7,8,ñkñkêº,8,2
2009/9,23.0,8,1,13.0,8,1,26.5,8,1,20.2,8,1,31.5,8,1,17.7,8,1,53.0,0,8,1,136.5,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,7.3,8,ñkñkêº,8,2
2009/10,19.0,8,1,10.5,8,1,22.3,8,1,16.0,8,1,27.1,8,1,12.7,8,1,276.5,0,8,1,153.3,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,13.1,8,ìÏ,8,2
2009/11,13.5,8,1,7.8,8,1,17.0,8,1,10.1,8,1,25.9,8,1,5.5,8,1,151.5,0,8,1,124.0,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,10.0,8,ìÏìÏêº,8,2
2009/12,9.0,8,1,8.4,8,1,12.4,8,1,6.2,8,1,17.4,8,1,1.1,8,1,82.5,0,8,1,181.0,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,10.3,8,ñkñkêº,8,2
2010/1,7.0,8,1,10.6,8,1,11.0,8,1,3.0,8,1,18.0,8,1,-0.3,8,1,9.0,0,8,1,221.9,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,10.3,8,êºñkêº,8,2
2010/2,6.5,8,1,9.1,8,1,9.9,8,1,3.0,8,1,21.0,8,1,-0.4,8,1,115.0,0,8,1,118.3,0,5,2,2,0,8,1,1,0,8,1,2.8,8,2,11.8,8,êºñkêº,8,2
2010/3,9.1,8,1,12.4,8,1,13.2,8,1,5.1,8,1,21.6,8,1,0.9,8,1,143.5,0,8,1,139.8,0,8,2,0,1,8,1,0,0,8,1,3.2,8,2,14.6,8,ìÏ,8,2
2010/4,12.4,8,1,14.1,8,1,16.6,8,1,8.6,8,1,25.5,8,1,1.4,8,1,214.0,0,8,1,139.9,0,8,2,0,1,8,1,0,0,8,1,3.1,8,2,11.8,8,ìÏìÏêº,8,2
2010/5,19.0,8,1,18.2,8,1,23.0,8,1,15.4,8,1,30.9,8,1,11.4,8,1,114.0,0,8,1,198.8,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,10.2,8,ìÏ,8,2
2010/6,23.6,8,1,18.0,8,1,27.5,8,1,20.5,8,1,31.8,8,1,13.4,8,1,108.0,0,8,1,162.5,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,9.3,8,ìÏêº,8,2
2010/7,28.0,8,1,17.3,8,1,31.6,8,1,25.0,8,1,36.3,8,1,19.9,8,1,70.0,0,8,1,182.7,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,10.5,8,ìÏ,8,2
2010/8,29.6,8,1,18.5,8,1,33.5,8,1,27.0,8,1,37.2,8,1,23.6,8,1,27.0,0,8,1,222.6,0,8,2,0,1,8,1,0,1,8,1,3.4,8,2,11.4,8,ìÏìÏêº,8,2
2010/9,25.1,8,1,13.5,8,1,29.0,8,1,22.3,8,1,35.9,8,1,13.9,8,1,428.0,0,8,1,165.3,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,7.9,8,ñkñkêº,8,2
2010/10,18.9,8,1,8.7,8,1,21.8,8,1,16.5,8,1,28.3,8,1,9.3,8,1,211.0,0,8,1,81.4,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,8.5,8,ñkñkêº,8,2
2010/11,13.5,8,1,9.6,8,1,17.2,8,1,10.0,8,1,22.4,8,1,7.0,8,1,94.5,0,8,1,158.9,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,9.5,8,ìÏêº,8,2
2010/12,9.9,8,1,9.0,8,1,13.7,8,1,6.2,8,1,23.7,8,1,2.1,8,1,145.5,0,8,1,194.9,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,10.6,8,ìÏ,8,2
2011/1,5.1,8,1,11.5,8,1,9.1,8,1,1.5,8,1,12.2,8,1,-1.1,8,1,3.5,0,8,1,243.9,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,9.0,8,ñkñkêº,8,2
2011/2,7.0,8,1,10.9,8,1,11.2,8,1,3.2,8,1,20.8,8,1,-0.8,8,1,151.0,0,8,1,148.9,0,8,2,2,0,8,1,2,0,8,1,2.9,8,2,10.5,8,ñkñkêº,8,2
2011/3,8.1,8,1,16.0,8,1,12.3,8,1,4.0,8,1,20.2,8,1,1.0,8,1,74.0,0,8,1,214.8,0,8,2,0,1,8,1,0,0,8,1,3.2,8,2,11.2,8,ñkñkêº,8,2
2011/4,14.5,8,1,18.6,8,1,18.9,8,1,10.3,8,1,24.8,8,1,4.3,8,1,96.0,0,8,1,204.0,0,8,2,0,1,8,1,0,1,8,1,3.8,8,2,12.5,8,ìÏìÏêº,8,2
2011/5,18.5,8,1,15.4,8,1,22.2,8,1,15.0,8,1,29.6,8,1,12.2,8,1,213.5,0,8,1,146.3,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,12.1,8,ìÏìÏêº,8,2
2011/6,22.8,8,1,14.2,8,1,26.0,8,1,19.9,8,1,35.1,8,1,12.1,8,1,116.5,0,8,1,105.1,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,11.0,8,ìÏ,8,2
2011/7,27.3,8,1,18.2,8,1,30.9,8,1,24.5,8,1,34.8,8,1,18.0,8,1,54.5,0,8,1,186.2,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,10.2,8,ìÏ,8,2
2011/8,27.5,8,1,15.8,8,1,31.2,8,1,24.6,8,1,36.1,8,1,19.3,8,1,244.0,0,8,1,168.9,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,8.1,8,ìÏìå,8,2
2011/9,25.1,8,1,14.6,8,1,28.8,8,1,22.0,8,1,32.5,8,1,15.9,8,1,235.0,0,8,1,165.8,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,16.9,8,ìÏ,8,2
2011/10,19.5,8,1,11.3,8,1,23.0,8,1,16.5,8,1,29.7,8,1,11.2,8,1,119.5,0,8,1,141.3,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,10.7,8,ìÏ,8,2
2011/11,14.9,8,1,9.1,8,1,18.3,8,1,11.7,8,1,22.7,8,1,7.2,8,1,112.5,0,8,1,143.4,0,8,2,0,1,8,1,0,1,8,1,2.2,8,2,9.7,8,ìÏ,8,2
2011/12,7.5,8,1,8.5,8,1,11.1,8,1,4.2,8,1,18.9,8,1,1.5,8,1,59.5,0,8,1,187.6,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,8.7,8,ñkêº,8,2
2012/1,4.8,8,1,9.6,8,1,8.3,8,1,1.8,8,1,11.1,8,1,-1.0,8,1,50.0,0,8,1,183.0,0,8,2,4,0,8,1,4,0,8,1,2.7,8,2,10.0,8,ñkñkêº,8,2
2012/2,5.4,8,1,11.0,8,1,9.1,8,1,2.2,8,1,15.4,8,1,-1.0,8,1,94.0,0,8,1,148.6,0,8,2,2,0,8,1,2,0,8,1,2.9,8,2,9.8,8,êºñkêº,8,2
2012/3,8.8,8,1,12.5,8,1,12.5,8,1,5.3,8,1,19.4,8,1,2.0,8,1,144.5,0,8,1,149.7,0,8,2,0,1,8,1,0,0,8,1,3.1,8,2,14.2,8,ìÏ,8,2
2012/4,14.5,8,1,16.2,8,1,18.5,8,1,11.0,8,1,26.0,8,1,5.1,8,1,118.5,0,8,1,162.4,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,15.1,8,ìÏìÏìå,8,2
2012/5,19.6,8,1,18.5,8,1,23.6,8,1,16.1,8,1,27.2,8,1,11.9,8,1,231.0,0,8,1,195.4,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,10.6,8,ñkñkêº,8,2
2012/6,21.4,8,1,16.1,8,1,24.8,8,1,18.6,8,1,30.2,8,1,15.2,8,1,185.0,0,8,1,125.3,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,16.3,8,ìÏ,8,2
2012/7,26.4,8,1,18.7,5,1,30.1,8,1,23.5,8,1,35.4,8,1,17.4,8,1,130.0,0,8,1,181.3,0,5,2,0,1,8,1,0,1,8,1,3.1,8,2,10.1,8,ìÏìÏêº,8,2
2012/8,29.1,8,1,19.8,8,1,33.1,8,1,26.3,8,1,35.7,8,1,22.9,8,1,25.0,0,8,1,236.0,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,10.2,8,ìÏìÏêº,8,2
2012/9,26.2,8,1,14.5,8,1,29.8,8,1,23.3,8,1,33.8,8,1,18.0,8,1,214.5,0,8,1,164.4,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,14.1,8,ìÏìÏìå,8,2
2012/10,19.4,8,1,12.0,8,1,23.0,8,1,16.2,8,1,31.0,8,1,11.8,8,1,154.5,0,8,1,156.6,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,12.4,8,ìÏìÏêº,8,2
2012/11,12.7,8,1,9.1,8,1,16.3,8,1,9.6,8,1,21.5,8,1,4.4,8,1,154.0,0,8,1,153.3,0,5,2,0,1,8,1,0,1,8,1,2.7,8,2,8.0,8,ñkñkêº,8,2
2012/12,7.3,8,1,8.2,8,1,11.2,8,1,3.8,8,1,18.4,8,1,0.1,8,1,69.0,0,8,1,166.9,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,8.8,8,ìÏêº,8,2
2013/1,5.5,8,1,10.7,8,1,9.6,8,1,1.8,8,1,14.4,8,1,-1.4,8,1,70.0,0,8,1,212.5,0,8,2,8,0,8,1,8,0,8,1,2.9,8,2,9.4,8,ñkñkêº,8,2
2013/2,6.2,8,1,12.1,8,1,10.3,8,1,2.7,8,1,20.9,8,1,-0.5,8,1,30.0,0,8,1,173.7,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,12.6,8,ñkñkêº,8,2
2013/3,12.1,8,1,14.6,5,1,16.4,8,1,7.9,8,1,25.3,8,1,3.2,8,1,44.5,0,8,1,190.1,0,8,2,0,1,8,1,0,1,8,1,3.6,5,2,14.5,5,ìÏìÏêº,8,2
2013/4,15.2,8,1,17.7,8,1,19.2,8,1,10.8,8,1,23.4,8,1,5.3,8,1,283.0,0,8,1,196.0,0,8,2,0,1,8,1,0,1,8,1,3.9,8,2,12.0,8,ìÏ,8,2
2013/5,19.8,8,1,21.3,8,1,24.1,8,1,16.0,8,1,28.5,8,1,10.5,8,1,56.0,0,8,1,227.1,0,5,2,0,1,8,1,0,1,8,1,3.4,8,2,10.8,8,ñkñkêº,8,2
2013/6,22.9,8,1,15.9,8,1,26.5,8,1,20.0,8,1,30.2,8,1,14.7,8,1,159.0,0,8,1,123.9,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,11.6,8,ìÏìÏêº,8,2
2013/7,27.3,8,1,17.8,8,1,31.4,8,1,24.2,8,1,35.4,8,1,21.0,8,1,115.5,0,8,1,163.4,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,9.6,8,ìÏ,8,2
2013/8,29.2,8,1,18.2,8,1,33.2,8,1,26.0,8,1,38.3,8,1,20.3,8,1,99.0,0,8,1,210.6,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,8.4,8,ìÏ,8,2
2013/9,25.2,8,1,13.7,5,1,28.8,8,1,21.8,8,1,35.7,8,1,15.7,8,1,231.5,0,8,1,164.2,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,14.0,8,ìÏìÏìå,8,2
2013/10,19.8,8,1,9.4,8,1,23.0,8,1,17.0,8,1,31.3,8,1,12.0,8,1,440.0,0,8,1,110.4,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,14.1,8,ñkñkêº,8,2
2013/11,13.5,8,1,9.7,8,1,17.4,8,1,9.8,8,1,21.5,8,1,5.9,8,1,26.0,0,8,1,177.4,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,10.6,8,ìÏ,8,2
2013/12,8.3,8,1,8.6,8,1,12.1,8,1,4.9,8,1,17.6,8,1,0.5,8,1,59.5,0,8,1,181.8,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,9.7,8,ìÏêº,8,2
2014/1,6.3,8,1,10.2,8,1,10.6,8,1,2.5,8,1,15.9,8,1,-0.2,8,1,24.5,0,8,1,204.1,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,10.3,8,ñkêº,8,2
2014/2,5.9,8,1,11.2,5,1,9.8,8,1,2.8,8,1,18.6,8,1,-0.9,8,1,157.5,0,8,1,139.8,0,5,2,49,0,8,1,27,0,8,1,3.3,8,2,11.0,8,ñkêº,8,2
2014/3,10.4,8,1,14.7,8,1,14.5,8,1,6.7,8,1,22.3,8,1,1.3,8,1,113.5,0,8,1,205.0,0,8,2,0,1,8,1,0,1,8,1,3.5,8,2,11.8,8,ìÏ,8,2
2014/4,15.0,8,1,18.6,8,1,19.6,8,1,11.0,8,1,23.9,8,1,6.3,8,1,155.0,0,8,1,218.3,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,9.9,8,ñkñkêº,8,2
2014/5,20.3,8,1,20.5,8,1,24.7,8,1,16.7,8,1,31.6,8,1,11.2,8,1,135.5,0,8,1,236.5,0,8,2,0,1,8,1,0,1,8,1,3.4,8,2,11.3,8,ñkêº,8,2
2014/6,23.4,8,1,15.7,8,1,26.9,8,1,20.7,8,1,33.1,8,1,17.7,8,1,311.0,0,8,1,143.0,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,7.4,8,ìÏìå,8,2
2014/7,26.8,8,1,17.8,8,1,30.5,8,1,23.9,8,1,35.6,8,1,20.1,8,1,105.5,0,8,1,175.6,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,9.8,8,ìÏ,8,2
2014/8,27.7,8,1,16.2,8,1,31.2,8,1,24.8,8,1,36.1,8,1,19.6,8,1,105.0,0,8,1,180.9,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,11.4,8,ìÏ,8,2
2014/9,23.2,8,1,13.5,8,1,26.9,8,1,20.1,8,1,31.6,8,1,16.4,8,1,155.5,0,8,1,145.8,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,8.7,8,ñkñkìå,8,2
2014/10,19.1,8,1,10.4,8,1,23.0,8,1,16.0,8,1,29.8,8,1,11.9,8,1,384.5,0,8,1,135.2,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,11.5,8,ñkêº,8,2
2014/11,14.2,8,1,8.3,8,1,17.4,8,1,11.3,8,1,22.4,8,1,6.9,8,1,98.5,0,8,1,134.6,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,7.5,8,ñkñkêº,8,2
2014/12,6.7,8,2,8.4,5,1,11.0,8,2,2.8,8,2,16.2,8,1,-1.3,8,1,62.0,0,8,1,185.2,0,5,2,0,1,8,1,0,1,8,1,2.5,5,2,10.4,5,êºñkêº,8,2
2015/1,5.8,8,2,9.2,8,1,10.4,8,2,1.8,8,2,16.4,8,1,-2.2,8,1,92.5,0,8,1,182.0,0,8,2,3,0,8,1,3,0,8,1,3.2,8,2,10.5,8,ñkêº,8,2
2015/2,5.7,8,2,11.3,8,1,10.4,8,2,1.9,8,2,19.2,8,1,-2.4,8,1,62.0,0,8,1,166.9,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,11.0,8,ñkñkêº,8,2
2015/3,10.3,8,2,14.5,8,1,15.5,8,2,5.8,8,2,23.6,8,1,-0.4,8,1,94.0,0,8,1,194.2,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,9.7,8,ìÏ,8,2
2015/4,14.5,8,2,14.2,8,1,19.3,8,2,10.1,8,2,27.2,8,1,2.4,8,1,129.0,0,8,1,149.5,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,10.4,8,ìÏ,8,2
2015/5,21.1,8,2,20.8,8,1,26.4,8,2,16.6,8,2,32.2,8,1,11.6,8,1,88.0,0,8,1,240.6,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,10.1,8,ìÏìÏêº,8,2
2015/6,22.1,8,2,16.0,8,1,26.4,8,2,18.6,8,2,31.4,8,1,13.4,8,1,195.5,0,8,1,137.3,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,8.2,8,ìÏìå,8,2
2015/7,26.2,8,2,16.2,8,1,30.1,8,2,23.2,8,2,35.8,8,1,17.6,8,1,234.5,0,8,1,181.8,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,10.7,8,ìÏìÏêº,8,2
2015/8,26.7,8,2,14.0,8,1,30.5,8,2,23.9,8,2,37.7,8,1,17.9,8,1,103.5,0,8,1,137.6,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,8.9,8,ìÏ,8,2
2015/9,22.6,8,2,11.4,8,1,26.4,8,2,19.8,8,2,31.5,8,1,16.1,8,1,503.5,0,8,1,113.3,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,9.1,8,ìÏ,8,2
